날짜,주차,학습 내용,문제 풀이,포인트
1일 (4/29 수),1주차,ch.01 시간복잡도 + 디버깅 개념 읽기,[000] 수 정렬하기,Big-O 표기법 정리
2일 (4/30 목),1주차,ch.03 오답노트 전체 읽기,예제 코드 Python으로 직접 타이핑,Python 실수 패턴 파악
3일 (5/1 금),1주차,ch.04-1 배열/리스트,"[001] 숫자의 합, [002] 평균 구하기",입출력 sys.stdin.readline 적용
4일 (5/2 토),1주차,ch.04-2 구간 합,"[003~005] 구간합 1/2, 나머지 합",prefix sum 패턴 암기
5일 (5/3 일),1주차,ch.04-3 투 포인터,"[006~008] 자연수 합, 주몽, 좋은 수",투포인터 while 패턴 손에 익히기
6일 (5/4 월),1주차,ch.04-4 슬라이딩 윈도우,"[009~010] DNA 비밀번호, 최솟값",deque 사용법 익히기
7일 (5/5 화),1주차,1주차 복습일,못 푼 문제 재도전 + 오답노트 정리,약점 유형 파악
8일 (5/6 수),2주차,ch.04-5 스택/큐,"[011~012] 수열 만들기, 오큰수",스택 LIFO 패턴
9일 (5/7 목),2주차,ch.04-5 이어서,"[013~014] 카드 게임, 절댓값 힙",heapq 모듈 활용
10일 (5/8 금),2주차,ch.05-1~5-2 버블/선택 정렬,[015~017],정렬 직접 구현 vs sorted() 비교
11일 (5/9 토),2주차,ch.05-3~5-4 삽입/퀵 정렬,[018~019],퀵소트 구현 + 시간복잡도 이해
12일 (5/10 일),2주차,ch.05-5~5-6 병합/기수 정렬,[020~022],merge sort 재귀 구조 이해
13일 (5/11 월),2주차,2주차 복습일,정렬 유형 백준 추가 1~2문제,시간복잡도 비교 정리
14일 (5/12 화),2주차,자유 보강일,밀린 문제 or 약점 보완,-
15일 (5/13 수),3주차,ch.06-1 DFS,"[023~025] 연결요소, 신기한 소수, 친구관계",재귀 DFS + 스택 DFS 두 방식
16일 (5/14 목),3주차,ch.06-2 백트래킹,"[026~027] N과M, N-Queen",가지치기 조건 설계
17일 (5/15 금),3주차,ch.06-2 이어서,[028] 색종이 붙이기,백트래킹 복잡도 감각
18일 (5/16 토),3주차,ch.06-3 BFS,"[029~030] DFS·BFS, 미로탐색",deque BFS 템플릿 암기
19일 (5/17 일),3주차,ch.06-3~6-4,"[031] 트리지름, [032~034] 이진탐색",BFS + 이진탐색 병행
20일 (5/18 월),3주차,3주차 복습일,DFS/BFS 백준 추가 2문제,? 코테 핵심 파트
21일 (5/19 화),3주차,자유 보강일,DFS/BFS 재풀이,-
22일 (5/20 수),4주차,ch.07 그리디,"[035~037] 동전, 카드정렬, 수 묶기",그리디 증명 습관
23일 (5/21 목),4주차,ch.07 이어서,"[038~039] 회의실 배정, 괄호 배치",정렬 기반 그리디
24일 (5/22 금),4주차,ch.08-1 소수,"[040~043] 소수, 거의 소수, 팰린드롬",에라토스테네스의 체
25일 (5/23 토),4주차,ch.08-2~8-3 오일러피/유클리드,[044~047],gcd/lcm Python math 모듈
26일 (5/24 일),4주차,ch.08-4 확장 유클리드,[048] Ax+By=C,수학적 증명보단 구현 패턴
27일 (5/25 월),4주차,4주차 복습일,그리디 + 정수론 재풀이,-
28일 (5/26 화),4주차,자유 보강일,밀린 문제 보강,-
29일 (5/27 수),5주차,ch.09-1 그래프 표현,"[049~052] 특정거리, 해킹, 이분그래프, 물의양",BFS 응용 확장
30일 (5/28 목),5주차,ch.09-2 유니온파인드,"[053~055] 집합, 여행계획, 거짓말쟁이",Union-Find 구현 템플릿
31일 (5/29 금),5주차,ch.09-3 위상정렬,"[056~058] 줄세우기, 게임개발, 임계경로",진입차수 배열 설계
32일 (5/30 토),5주차,ch.09-4 다익스트라,"[059~061] 최단경로, 최소비용, K번째경로",heapq 다익스트라 템플릿
33일 (5/31 일),5주차,ch.09-5~9-6,"[062~066] 벨만포드, 플로이드워셜",음수간선 처리
34일 (6/1 월),5주차,ch.09-7 MST,"[067~069] MST, 다리만들기, 불우이웃",크루스칼 + 프림
35일 (6/2 화),5주차,5주차 복습일,그래프 전체 재풀이 + 약점 집중,? 실전 핵심 파트
36일 (6/3 수),6주차,ch.10-1~10-2 트리/트라이,[070~072],트리 BFS 응용
37일 (6/4 목),6주차,ch.10-3~10-4 이진트리/세그먼트,[073~076],세그먼트 트리 구현
38일 (6/5 금),6주차,ch.10-5 LCA,[077~078],희소 테이블 (심화)
39일 (6/6 토),6주차,ch.11 조합,"[079~083] 이항계수, 부녀회장, 다리놓기, 조약돌",파스칼 삼각형 + DP 연계
40일 (6/7 일),6주차,ch.11 이어서,"[084~086] 순열 순서, 사전, 선물전달",순열 수학적 접근
41일 (6/8 월),6주차,ch.12 DP 기초,"[087~090] 정수→1, 퇴사, 이친수, 타일",점화식 세우는 습관
42일 (6/9 화),6주차,ch.12 DP 중급,"[091~094] 계단수, 연속합, LCS, 정사각형",2D DP 테이블
43일 (6/10 수),7주차,ch.12 DP 고급,"[095~097] 빌딩, DDR, 행렬곱",DP + 그리디 혼합
44일 (6/11 목),7주차,ch.12 DP 마무리,"[098~099] 외판원(TSP), LIS",비트마스킹 DP 맛보기
45일 (6/12 금),7주차,ch.13 기하,"[100~103] 선분방향, 교차, 그룹, 다각형넓이",CCW 개념
46일 (6/13 토),7주차,DP 전체 복습,못 푼 DP 재도전,? 취약 파트 집중
47일 (6/14 일),7주차,전체 복습 1일차,ch.04~06 핵심 문제 재풀이,-
48일 (6/15 월),7주차,전체 복습 2일차,ch.09~12 핵심 문제 재풀이,-
49일 (6/16 화),7주차,프로그래머스 전환,Lv.2 문제 3개 도전,실전 감각 익히기
50~56일,8주차,프로그래머스 Lv.2~3 + 기업 기출,하루 2~3문제 꾸준히,실전 코테 대비 마무리
